Name,ID,Has Item,Mod,Class,Display Name
minecraft:air,0,false,null,net.minecraft.block.BlockAir,null
minecraft:stone,1,true,minecraft,net.minecraft.block.BlockStone,Stone
minecraft:grass,2,true,minecraft,net.minecraft.block.BlockGrass,Grass Block
minecraft:dirt,3,true,minecraft,net.minecraft.block.BlockDirt,Dirt
minecraft:cobblestone,4,true,minecraft,net.minecraft.block.Block,Cobblestone
minecraft:planks,5,true,minecraft,net.minecraft.block.BlockWood,Oak Planks
minecraft:sapling,6,true,minecraft,net.minecraft.block.BlockSapling,Oak Sapling
minecraft:bedrock,7,true,minecraft,net.minecraft.block.Block,Bedrock
minecraft:flowing_water,8,true,minecraft,cofh.asmhooks.block.BlockTickingWater,Water
minecraft:water,9,true,minecraft,cofh.asmhooks.block.BlockWater,Water
minecraft:flowing_lava,10,true,minecraft,net.minecraft.block.BlockDynamicLiquid,Lava
minecraft:lava,11,true,minecraft,net.minecraft.block.BlockStaticLiquid,Lava
minecraft:sand,12,true,minecraft,net.minecraft.block.BlockSand,Sand
minecraft:gravel,13,true,minecraft,net.minecraft.block.BlockGravel,Gravel
minecraft:gold_ore,14,true,minecraft,net.minecraft.block.BlockOre,Gold Ore
minecraft:iron_ore,15,true,minecraft,net.minecraft.block.BlockOre,Iron Ore
minecraft:coal_ore,16,true,minecraft,net.minecraft.block.BlockOre,Coal Ore
minecraft:log,17,true,minecraft,net.minecraft.block.BlockOldLog,Oak Log
minecraft:leaves,18,true,minecraft,net.minecraft.block.BlockOldLeaf,Oak Leaves
minecraft:sponge,19,true,minecraft,net.minecraft.block.BlockSponge,Sponge
minecraft:glass,20,true,minecraft,net.minecraft.block.BlockGlass,Glass
minecraft:lapis_ore,21,true,minecraft,net.minecraft.block.BlockOre,Lapis Lazuli Ore
minecraft:lapis_block,22,true,minecraft,net.minecraft.block.BlockCompressed,Lapis Lazuli Block
minecraft:dispenser,23,true,minecraft,net.minecraft.block.BlockDispenser,Dispenser
minecraft:sandstone,24,true,minecraft,net.minecraft.block.BlockSandStone,Sandstone
minecraft:noteblock,25,true,minecraft,net.minecraft.block.BlockNote,Note Block
minecraft:bed,26,false,null,net.minecraft.block.BlockBed,null
minecraft:golden_rail,27,true,minecraft,net.minecraft.block.BlockRailPowered,Booster Track
minecraft:detector_rail,28,true,minecraft,net.minecraft.block.BlockRailDetector,Detector Track
minecraft:sticky_piston,29,true,minecraft,net.minecraft.block.BlockPistonBase,Sticky Piston
minecraft:web,30,true,minecraft,net.minecraft.block.BlockWeb,Cobweb
minecraft:tallgrass,31,true,minecraft,net.minecraft.block.BlockTallGrass,Shrub
minecraft:deadbush,32,true,minecraft,net.minecraft.block.BlockDeadBush,Dead Bush
minecraft:piston,33,true,minecraft,net.minecraft.block.BlockPistonBase,Piston
minecraft:piston_head,34,false,null,net.minecraft.block.BlockPistonExtension,null
minecraft:wool,35,true,minecraft,net.minecraft.block.BlockColored,Wool
minecraft:piston_extension,36,false,null,net.minecraft.block.BlockPistonMoving,null
minecraft:yellow_flower,37,true,minecraft,net.minecraft.block.BlockFlower,Dandelion
minecraft:red_flower,38,true,minecraft,net.minecraft.block.BlockFlower,Poppy
minecraft:brown_mushroom,39,true,minecraft,net.minecraft.block.BlockMushroom,Mushroom
minecraft:red_mushroom,40,true,minecraft,net.minecraft.block.BlockMushroom,Mushroom
minecraft:gold_block,41,true,minecraft,net.minecraft.block.BlockCompressed,Block of Gold
minecraft:iron_block,42,true,minecraft,net.minecraft.block.BlockCompressed,Block of Iron
minecraft:double_stone_slab,43,true,minecraft,net.minecraft.block.BlockStoneSlab,Smooth Stone Slab
minecraft:stone_slab,44,true,minecraft,net.minecraft.block.BlockStoneSlab,Smooth Stone Slab
minecraft:brick_block,45,true,minecraft,net.minecraft.block.Block,Bricks
minecraft:tnt,46,true,minecraft,net.minecraft.block.BlockTNT,TNT
minecraft:bookshelf,47,true,minecraft,net.minecraft.block.BlockBookshelf,Bookshelf
minecraft:mossy_cobblestone,48,true,minecraft,net.minecraft.block.Block,Mossy Cobblestone
minecraft:obsidian,49,true,minecraft,net.minecraft.block.BlockObsidian,Obsidian
minecraft:torch,50,true,minecraft,net.minecraft.block.BlockTorch,Torch
minecraft:fire,51,true,minecraft,net.minecraft.block.BlockFire,Fire
minecraft:mob_spawner,52,true,minecraft,net.minecraft.block.BlockMobSpawner,Spawner
minecraft:oak_stairs,53,true,minecraft,net.minecraft.block.BlockStairs,Oak Stairs
minecraft:chest,54,true,minecraft,net.minecraft.block.BlockChest,Chest
minecraft:redstone_wire,55,false,null,net.minecraft.block.BlockRedstoneWire,null
minecraft:diamond_ore,56,true,minecraft,net.minecraft.block.BlockOre,Diamond Ore
minecraft:diamond_block,57,true,minecraft,net.minecraft.block.BlockCompressed,Block of Diamond
minecraft:crafting_table,58,true,minecraft,net.minecraft.block.BlockWorkbench,Crafting Table
minecraft:wheat,59,false,null,net.minecraft.block.BlockCrops,null
minecraft:farmland,60,true,minecraft,net.minecraft.block.BlockFarmland,Farmland
minecraft:furnace,61,true,minecraft,net.minecraft.block.BlockFurnace,Furnace
minecraft:lit_furnace,62,true,minecraft,net.minecraft.block.BlockFurnace,Furnace
minecraft:standing_sign,63,false,null,net.minecraft.block.BlockSign,null
minecraft:wooden_door,64,false,null,net.malisis.doors.door.block.Door,null
minecraft:ladder,65,true,minecraft,net.minecraft.block.BlockLadder,Ladder
minecraft:rail,66,true,minecraft,net.minecraft.block.BlockRail,Track
minecraft:stone_stairs,67,true,minecraft,net.minecraft.block.BlockStairs,Stone Stairs
minecraft:wall_sign,68,false,null,net.minecraft.block.BlockSign,null
minecraft:lever,69,true,minecraft,net.minecraft.block.BlockLever,Lever
minecraft:stone_pressure_plate,70,true,minecraft,net.minecraft.block.BlockPressurePlate,Pressure Plate
minecraft:iron_door,71,false,null,net.malisis.doors.door.block.Door,null
minecraft:wooden_pressure_plate,72,true,minecraft,net.minecraft.block.BlockPressurePlate,Oak Pressure Plate
minecraft:redstone_ore,73,true,minecraft,net.minecraft.block.BlockRedstoneOre,Redstone Ore
minecraft:lit_redstone_ore,74,false,null,net.minecraft.block.BlockRedstoneOre,null
minecraft:unlit_redstone_torch,75,false,null,net.minecraft.block.BlockRedstoneTorch,null
minecraft:redstone_torch,76,true,minecraft,net.minecraft.block.BlockRedstoneTorch,Redstone Torch
minecraft:stone_button,77,true,minecraft,net.minecraft.block.BlockButtonStone,Button
minecraft:snow_layer,78,true,minecraft,net.minecraft.block.BlockSnow,Snow
minecraft:ice,79,true,minecraft,net.minecraft.block.BlockIce,Ice
minecraft:snow,80,true,minecraft,net.minecraft.block.BlockSnowBlock,Snow
minecraft:cactus,81,true,minecraft,net.minecraft.block.BlockCactus,Cactus
minecraft:clay,82,true,minecraft,net.minecraft.block.BlockClay,Clay
minecraft:reeds,83,false,null,net.minecraft.block.BlockReed,null
minecraft:jukebox,84,true,minecraft,net.minecraft.block.BlockJukebox,Jukebox
minecraft:fence,85,true,minecraft,net.minecraft.block.BlockFence,Oak Fence
minecraft:pumpkin,86,true,minecraft,net.minecraft.block.BlockPumpkin,Pumpkin
minecraft:netherrack,87,true,minecraft,net.minecraft.block.BlockNetherrack,Netherrack
minecraft:soul_sand,88,true,minecraft,net.minecraft.block.BlockSoulSand,Soul Sand
minecraft:glowstone,89,true,minecraft,net.minecraft.block.BlockGlowstone,Glowstone
minecraft:portal,90,true,minecraft,net.minecraft.block.BlockPortal,Portal
minecraft:lit_pumpkin,91,true,minecraft,net.minecraft.block.BlockPumpkin,Jack o'Lantern
minecraft:cake,92,false,null,net.minecraft.block.BlockCake,null
minecraft:unpowered_repeater,93,false,null,net.minecraft.block.BlockRedstoneRepeater,null
minecraft:powered_repeater,94,false,null,net.minecraft.block.BlockRedstoneRepeater,null
minecraft:stained_glass,95,true,minecraft,net.minecraft.block.BlockStainedGlass,White Stained Glass
minecraft:trapdoor,96,true,minecraft,net.malisis.doors.trapdoor.block.TrapDoor,Oak Trapdoor
minecraft:monster_egg,97,true,minecraft,net.minecraft.block.BlockSilverfish,Infested Stone
minecraft:stonebrick,98,true,minecraft,net.minecraft.block.BlockStoneBrick,Stone Bricks
minecraft:brown_mushroom_block,99,true,minecraft,net.minecraft.block.BlockHugeMushroom,Mushroom
minecraft:red_mushroom_block,100,true,minecraft,net.minecraft.block.BlockHugeMushroom,Mushroom
minecraft:iron_bars,101,true,minecraft,net.minecraft.block.BlockPane,Iron Bars
minecraft:glass_pane,102,true,minecraft,net.minecraft.block.BlockPane,Glass Pane
